Name,Logo,Site,Funding Rounds,Location(s),Notes
Collaborative Fund,93db4f1192e705e85828dfb305ab1b8d.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/5fxawpCIFjWW-9XGrSDGPg/9_bAtoXVCCpaBW-jAVw6Z6LCH-BhaEfuUG8N1paedBV8EYvTusuul_PjwuBLEkmylDevqKYWehIBBu64BmR0bMY3I8pNKl_8gkOb8W5uul_mxEWY6wrWVQkxnhodX9yf/CzZBcrTjq-pZG6PVYXxqzj-y_EokK5Dh0QB3mh0nwDM),http://www.collaborativefund.com/,"Collaborative Fund III,Collaborative Fund II","""New York, NY"",SF Bay Area/Silicon Valley",
Commerce Ventures,3a196104c9cc2bc12aa37f28f6fd502b.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/uNWmhkdVwA_5zYLykX6LSQ/DzBn0psZnQdX03OoZAK79AAU0C67Ns9vrwp6B4hMQd-u9Y5D-TT45DDKzzSQg5DqmxQBA1Snmf9AbsjE2snjgG81mfd9f3R7UexBxLr2My0YlWEDg_Pkhl_JRHwRpw8s/sge8w4WDBOZ4aKKER5pHeAehgjNZwq0pCVBOf-27SVU),http://www.commercevc.com/,Commerce Ventures II,SF Bay Area/Silicon Valley,
Common Angels,d2hs3ttmfqjg03mqflt0.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/QljESrBpsu1abX5-MlKfKw/R78QxmWJ3vElI-Y2TGR98aChFYOfwLnQcJKqjH6IAwpcTzY78_JQYLUVRcyhtHTM1B-sD-APRn1GGkpCFH3gtEiwJeqOu73Psz8y3GC-vN4xwZdcUhlrhCiH_N_g6o5J/-BOXaLT2ChAbUM4cLieVrX4Tg4YmORUrsOd2ZqAV7HI),http://convergevp.com/,Common Angels IV,Boston/Cambridge,
Compound,u9tde627pdfvfidqmme7.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/zKXtCopddBlwf6wxzY-L3Q/UDgMMlHeAIXs43TM2StdGzEzPuILPaYAkrtt_ri2XC7q5Xvj8SbQxDEOdyTzYCyfeLZUBDiRvASbNNb_xaEaDYudGEFWPJUXrxgZDvbTAO2TAgpYrSdZxfchgdGBzqPG/03Kc5TM_0bJ0WIbNp0W7B_HhyDldoZYuh38wS0ouIfM),https://compound.vc/,Compound I,"""New York, NY""",
Connect Ventures,cfajsy7bhywb0jbdfmcw.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/SIjfj9S_5jbuOj_NxYmuLg/mNhlnBXZ5BATQftK_rsrKsvo8-G7jfj6wNIopxLL3k2rpAg0WbUWQLp4n6RRsquiP2-1n_HGiIvDcBhkMiYQiZpC4oCeLfAL_6n1vyHgdyw_NqIOBx4ue_bCOHU1f-SO/TBQ0zVr1OoGVJJ-lx4r9X5jpuOBVt05Lb7nCACxaVMc),http://www.connectventures.co/,Connect Ventures I,London,
Contour Venture Partners,3c8a62ef1460fe0bf165c464512f3c3d.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/R39lxSxro_9Hmm1KXehLCw/maxG7-JcV38tji3jhdJ_IljnEM8d0w7oXVhmLkBRnVUmpfJC4Qe9VwtGSNfoPw5O55Q9zsO8YJabECn3TF_v_ffaSROe7BxIvUS-SX5ML5RSu1AeP6jBgZQ-8kZH_kpd/ynrO7AOgKHVvttZGlbo51uxTfa186aO957BfUNmIU2E),http://www.contourventures.com/,Contour Venture Partners III,"""New York, NY""",
Core Innovation Capital,nos4iyqwuz9sgpmmcegh.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/7vmGGbC8b0adOnS421mkuw/LYiUxbFALDbHhk6DwZHsn2ZjXM94olmrB4MLwBubCmMUkqP_uHpC1XXImllSjmAcIaWR3S2v9x7HHoKBFyevdyftIU_bdrOA5uJGQgbvOXcNtW4mrZkTxaQjzDm48pP8/M6SpSFv97TFvXE2TD5vWax1qGEr-XpihFUHhsP3fS5Y),http://www.corevc.com/,Core Innovation Capital I,"""New York, NY""",
Correlation Ventures,098b5d40b07e1324c4b92bfb8c8e052a.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/CkhGzYyfPsY6t_H7k4w0TA/urvo0DhPFx30tcJEYzu-obquXREVkv1cV081XBHN9RKqvYDHVYUrUBtWM2lUqqFgcsaCT5Np_PCFBk5j42tvx7a3QW5QGEXc2pElbbyvXVG-FbfJAepWlwSEO9YS4Oxq/Tl9Lhe6wRnxxCI4Pz_vmtGvdxhPRpnoxs9LVxL3j5lQ),http://correlationvc.com/,Correlation Ventures I,"""San Diego, CA""",
Costanoa Venture Capital,sjmqegstnfkohjv6oek9.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/lzGlcg45CnadiChRtMAWeA/cm78HapE1ORfisDnybcO3DUg58zEDrqRl9amVpw2m6vpubA42lUzBIx6r5Ix6t49uJphWRweR6fdMkn8Kyl2xZk7BPv-q7XJ3tfwjJyb8yanmg3ks0njdDWFFnzLISEC/6Bq15EoB1O0oGZl-H_S6cVlats6rjLWd9johhem1gNY),http://costanoavc.com/,"Costanoa Venture Capital I,Costanoa Venture Capital II",SF Bay Area/Silicon Valley,
Courtside Ventures,nnwhhshivlz7nczspfra.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/-M_VEWHJ2lYJ-aTqBTtL4Q/CFszzgzeGHhlzNRkCJ88YCAt4rnupnC-LsP5xqXWcDn6Tkpw3NFxNPXT1Fz3uWmywsRXMl21sGlZgYcSQu5md01GnWRuIxktlrOFPmyBWjZSQduAji5wmZoepTK8JCZP/5Y9ZGrgws_qgW7D68C-8qtaF7YV8y1v1LYGWTIHb90w),http://www.courtsidevc.com/,Courtside Ventures I,"""New York, NY"",Detroit",
Cowboy Ventures,fae13beab9fc463dcef42a43d9d4942f.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/JL80b9q52mOwG3JqFPWsJA/Prc3LQjGP7nNn0ZNssAGdpyP0NB0-oUkHvZ1pY9eRZjZPPdz8y3IFOGbIzVzd2h0oE6krFB0wK3I1HG5M1gmxWfRKBY_hv8gNWnSry97y0aiuX0Yv7B8LM8Mp40_vJeC/KG-HLRjUUinH_0kItfexmk8-G88m_e1_3KpNmEROPxE),http://www.cowboy.vc/,"Cowboy Ventures II,Cowboy Ventures I",SF Bay Area/Silicon Valley,
Craftsman Capital Partners,vcin2nm4wyj8hoatbdri.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/B-yrgUkE983qDL-_6WYSQw/zYkOIQD-TtI6Mnumvzj0NhaPGrCGsef-AnvjWDMgVm5DZMdG8oQ721MSwZv_fodDg4MoxhPkYE4hVrPOEmoA8ATDWS1MOnTxGxlq4nh9V2q7kI31VfR9NIg4a-RUJIZG/zeg5IT74oYR4K16EdfJwc0M3EE1-vg_xv9OMSuSDXaA),http://www.craftsmancapitalpartners.com/,Craftsman Capital Partners I,Dallas,
CrossCut Ventures,xm4intqnbaijzv5ennau.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/h9DajNk0a2N3pRiuMtYrvw/JlRs436VCatubyaKoO5gk_LvbzziFQI8uzfdOJu1oF9-7oR0u01MdQ0aG0OCO_g1h9zkjAYygqj-gwr_z5oZ2a1BRvKq2VnN3T3FOdmonB9bO-bHV2Q20qpq3Joj0ofK/yssVXxMN7Utm73kpFxONgD9P8FBOQmcj-DfzN96JmpY),http://crosscutventures.com/,CrossCut Ventures III,Los Angeles,
Crosslink Capital,zptspfemah9nkpljm0mz.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/YIV8G1M8gRUP-7KGlGaTAQ/TIoIgich_UKxtO7ujsGk6hjYwd0Yn2a9qupLDDS1UEewNJQ8BTg8YN1PvtM1gvd6S23rRJBlzZxXTS8cd1PsceOSUI5nefniYHYoJ-Ny3v747nBIW4GuwAX84mCUjF0-/LsygVU6irpGCcFT6KYbG_VadX3GJNHWM5LtfBH87PCU),http://www.crosslinkcapital.com/,Crosslink Capital VII,SF Bay Area/Silicon Valley,
Crunchfund,z6ksg9sgoutkitsbvwdm.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/hCWCDvyU-d_C81VcwQu1LA/HYBpqjXaTgzlI99yRNVuzWaQg2eBq09IuPijL1nyaxsj-BpCsOqAcGkU6ObBoc2st8SbkfjDK_VdIASRubsD9qWitt8ncpC3kRz7erVXqvP_4C4ey3fxIfSXKftIlz4B/_meHxus4KI6IMhxBXfTBdMneHX1nV5fJy0vYujb2FVI),http://crunchfund.com/,Crunchfund I,SF Bay Area/Silicon Valley,
Crystal Tech Fund,default_image_cb-e2471225359df18a02957cad1c97c684.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/tvq6-sM90Vd0qk0oR9t8xw/uTr19NzFTJY4TpQzgpUpaVL9jGeebrRy4lht-S-rVf-h_a2ipvE3nA29qR3Y_7dTBJ-JNlMLFONWGXoSWBvqsXOkoeJyFvOIqBEQTAu_iIhG5eWqc2erv-7vBAMNw5DiSfqqP5YqOBwIqJLUfCQNBQ/D_OybxXsl6yBdRurvxvST2ecitwUwSYzpHIkgYkRQcQ),http://www.crystalcity.org/,Crystal Tech Fund I,"""Washington, D.C.""",
Danhua Capital,ogij8v0mzf7l1e4gt8ti.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/qgnGTuQuxSeqvxtxiIQ5ow/KQ5gxv6xYVpvryOb23FF9b8IV64uYK8VszmnF654SyeihQwKus6hX3CuaKktrBvtKcIXBeAX7MlcJMIKA280dokzqmFDDSVzSyGGrHBgdBWXP1BwQnvDuxyjjkx5O0CB/7uJk8JTEwQR7-CMOTY7LNGWwZfq2ZqL_Dhs_L-BDR5s),http://www.danhuacap.com/,Danhua Capital I,SF Bay Area/Silicon Valley,
Data Collective,oerb3m0xdc6e2crgiy3x.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/II_E65_S285ceId48AM98g/uFWvvtLYBXFqR-Qwwbiz88TLbkZ0YjeXPCfShxArEGQpswPX4EyuaqGwHi63WmJt6ykX3EDHTNY-yuXnxmraXBTvWLu7MsGoY1ABcIuAiikEdx8B_gNF9BGMyge9NrNy/YmDsp9E9ktuttGYGkIYx4VQqVIlJp2dZuEJPoHM_tGg),http://www.dcvc.com/,"Data Collective IV,Data Collective I,Data Collective III,Data Collective I",SF Bay Area/Silicon Valley,
Deep Fork Capital,c57638d4953426c4b2d3e8c82af259f3.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Zi5FWI_mIB3JYBZ4amijxQ/sK0bNSY_sCBmXIL7Xj5f2TYDt0S2Im415sOZsXazgdPsuI3btaozJ5y9xXk4b32UKF0Cf3BTZnQrkE2CNhe6VnYQZe1vkY8ybNl79l7pSaN4Aee-qaQU84SqNrgAfXGK/b6z_777aT_cgWGewhePZJpmnK31IgrZTJMLCBSSML4E),http://www.deepforkcapital.com/,Deep Fork Capital II,"SF Bay Area/Silicon Valley,""New York, NY""",
Designer Fund,mpjiithjnvud5zfhnnlg.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/dAu57o6iywLMyJkrtGaCMA/08_d7nNQkFNUasFQ6sAwXPHI7dJOWoy9d46WaeCKhHlWjuomp2OzpyNnOEcQfr3cLBOFabuZSz5n1sPSXFuWC1o16VtnAVBQogf-F0ds0YRwgHllV17LHqHvVhdOlFGe/5jZsDzx-SjRGZlaZEq0wawMx2_2kCbCkNHU2dpaPbX8),http://designerfund.com/,Designer Fund I,SF Bay Area/Silicon Valley,
DN Capital,9c968fac08dd53791219d3caccbc453b.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/0HhR0grU10iaq995mXGfxQ/2chWWj1uPF5lZ5ZTgqMaCcXV62mNTM-mNQ3pJV4O9FxTpwGq6SUpk-SFLitB8-wUYyhG96OgvRA1efAfI303S-8jAXWQf6PjZX_UshSbIHJb0qZPuv9LUPlrXmEEyLrk/TG41-6k1bARTapgMTrso1A1A-rBqcc4L6or5zSa-E6g),http://dncapital.com/,DN Capital III,"SF Bay Area/Silicon Valley,London",
Draper Associates,ltlapqz9ek6ogthkjegj.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/EPGbQ7kDyBMWf0iSP3kXAA/HoalOKVW6W1qZDySDrx06W3w10H5En8K0WJEh2AGfMDAro1us8WRjNatBFGVTLexm3wfyX1ayWmYs68xini7rkt5bouvpEp6a83POQTlgWdyOaPYLlGF4iOeTBmQSHZa/9WrxQqVjJFVsbx9VTAZVx9kLSGInuVfyEhRION5B4l0),http://www.draper.vc/,"Draper Associates I,Draper Associates V",SF Bay Area/Silicon Valley,
Draper Nexus Ventures,68a5213c3b6f4ea380995e54850469fd.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/HqNzroD2ZBE9jctOom6Vrg/VSqZjE-andWsyoKMW9Evh8-l2vogPrA_16frg4j4M4B7Ho686Q8Zw44YP7HpOe93V73uGcl8R4LY9SrcVAYBPDjs41NLt7LB6qpBZv7CTVQHV27mBh_MrGF-tf_30J9O/Seivvm_rERUbhH3h3cgiQ1vp3giUo-IZVtKhQycuWnM),http://drapernexus.com/,Draper Nexus Ventures II,"Tokyo,SF Bay Area/Silicon Valley",
Dundee Venture Capital,lurg0eeflomijwqy8yvy.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/BSa6rym7C9VTKkrteG_B4Q/zFtYKVBPV-sdm2ZUEns1Bzk6B5kpeO1fSvfbQP5p_PDJZFYMqLLcGCAcbbKx35S7wlVa5ESBTTVXVDcYHjonXlZCO8GY3esl8ty3NeVXMOog-o68YQ9E6Hp9rphkfCjC/GtagsjgREGUIhKHZsRnJiUCBp-7jwoBZx6U_DIhwaK0),http://www.dundeeventurecapital.com/,Dundee Venture Capital II,"""Omaha, NE""",
Earlybird Venture Capital,yy4jtqad5kplh0dccnko.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/LZFT72fxEmSGnrET9jelKw/Tasl5WR1RNLzEef2w6R_xmO-CCsz3ZCwPO06s9_Qerq5eiPIrOzrfMAsG3cxvzHeoTcwFTZr0eZuy-yBf78K8qPr3B_G5LB8tvJuzRhjqrqvm4osj8z3hfe23G_7i7VX/fofO9sSfx2relaotBFzfDQSUY-PqPezhtRl-K-uKYaM),http://earlybird.com/,Earlybird Venture Capital IV,Berlin,
EIS Angel Co-Investment,3f405dd27b6bea895c87c1fe1490c2b9.gif (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/lGo7skr0qFjNxrvra24hzA/E3XasVIJ2XaCynhvQs4pXRn28bJJEJlh2LdFVQei44-OXzQ5IE-5NkRF5eQhErtoQsBRcZMiKvqmqHqJ-TMaEHxf2GIVdg9o4vdjddydbtNbiWQHgoaLgdtjDSCmbXIX/Ccusd7vb6k5phiTqEv_q5HDtDPpunMEcHIUg-d9eL7k),http://www.lbangels.co.uk/,EIS Angel Co-Investment II,London,
Elephant Partners,,http://elephantvc.com/,Elephant Partners I,"""New York, NY"",Boston/Cambridge",
Emergent Medical Partners,23d8aca39fdf57c4fb2fd303ac9530ef.gif (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/nLCtSvBTIbqIMfh_99xHFg/ZuD51bpf7KTzMrnPnipJMoeP2DfbRtTNQXMPeB5Vb60DyhqLp1IPTXyqBrO9LwJpoIfP01KzgieHHpV-Wph-an2nvM13m44YqATZDUvlWNIfhH82Ip7z9kIcEIDgfB5s/DYVmLWlypFb_C54FPA1QomAKrJ2WhxipuXTqtPi1KI4),http://www.emvllp.com/,Emergent Medical Partners I,SF Bay Area/Silicon Valley,
Engineering Capital,tvoltujc8zm2zr8npi7l.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/83pxltfXypYQp_CzZJkfNQ/oflmCR8litYf5CUNs8oDm-vQo0dKgrAGQSsfe7dA2rc8eodl_1tn4_ALBeh7XxH-v_eLnuVMe3zsuV-m33bNeIGhwwRghwdhlS1a6sSGlrIvvyRv2t-wJYB3M_Xk9rpF/6_iiWR9GHNDNXX58PPZWcMRHCXKZ-2LoLBZnJC-yjOw),http://www.engineeringcapital.com/,Engineering Capital I,SF Bay Area/Silicon Valley,
ENIAC Ventures,mjraop06ordaju8gtrb4.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/xwsN-QcPfCYpQz7-MzTrsQ/H2cjIXzApA_f_7RZHdxUJDcpGtKzQgQ6GN5HtWfrAACaZ93dMXFGCHt0sHwDGv-wSDwZEPfrplU3xUZ4x2Svt40jHUk_Hn2G5RonFQgePp1IxdDb1i24KSeTAkwtqvj2/Jn1YTCVv1_6hYHEA7e7WFCsMpoLaG9YhHcWNFbVKUCs),http://eniac.vc/,"ENIAC Ventures III,ENIAC Ventures II","""New York, NY""",
Expa,0677cb27a8e2930cac92bdf511f78ec2.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/BDcuRvmSrVhQd3Ly9nK5_w/Kl0BTLlxs8OHxyT0Quu7G4oaRrfldDiMrFbMFIu6XYFEC2VWmySc_eMNfLDHU-D3_nfGD2rGiKqHdzhX4a2R_7D2t7ocgFFzM2mpxn0J7w07o4G_vHbXE2VByJAr-Z7u/N48-flzwWhFt-1g6vj61N8id2wdR71I77v0sygOqnj0),http://www.expa.com/,Expa I,SF Bay Area/Silicon Valley,
Felicis Ventures,d9aqjy65hhsdpcqvstte.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/SI8n1vYMFwAD1qvilc_rPA/GzLGYyaclZhp1WBuw3_I_NYxkV3amxr1-XSGCJnApAYmIsJoqZLNzH8hGBS7ijI_INsZt9pvPaPECKTIpu7nuT3fc_V60VNitU3VCTPMNOKHhgKs9aKNajmEjFYvDdbp/hKDqrZWTDkVJ-BHLFPhZy9D34duBxJAYV7uF6yqwuR0),http://www.felicis.com/,"Felicis Ventures V,Felicis Ventures IV,Felicis Ventures III",SF Bay Area/Silicon Valley,
Female Founders Fund (FCubed),pk2qkxqcryqvsrva8w6k.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/eF_o-qwGEizp2gfFFZM3PQ/X_dLN8oZVBCe0J-8WIYqh2oT0Max22IMe1bfalhauiizkdq9XKU3qTwR8ZDTJQ5y09NhUEKa-OcDhFYViOAMV9HyzeJWcqfll_vIFv9l0-oYOj8zVe69BPzF0rW7pnIj/HtMIjXIppAkKt7FawII3gYGFOL0dLLD-Euc4ilo23cw),http://femalefoundersfund.com/,Female Founders Fund (FCubed) I,"""New York, NY""",
ff VC,oblhjodv4mesinvjjg3k.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/gJgJDDSDEi9yfK_3I3UlnQ/YUcSh-fx0MIMt3VFg44s8pBmc22IojsYVcA5gG110l-A4lvlluSuSiRbcyuUF2RiqV3vpyQi0BOUhx4dDs5_NlPzAyUsZ-QIuWeIPLox2jEPIB1CKUmIOQ2sq7PBskBT/RWV_BZNHt0l-NLANiGi5_N2-XBOwGNoh6pyCVovX0Qc),http://www.ffvc.com/,"ff VC III,ff VC III","""New York, NY""",
First Round Capital,qulwlsgonnklkvnhevze.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/BbEEkjXnjDmuVG3iznjOwQ/U2GLvzvtQ9-1mcg3JdQH6fF3Zon-xbUYLeGNd7Agadp-wRObEEE2fJaipo2v6RUX__sVqzzyCQPoz4L2TMvZkQBZjg54XMkhL3WylKOIcdPj46lxwdxqzKRoFD6HJaOx/v09Zrj_yoluKYfQOoIELN_JyZ2_fb5O7q7lxt6cZBdE),http://www.firstround.com/,"First Round Capital VI,First Round Capital V,First Round Capital IV","""New York, NY"",SF Bay Area/Silicon Valley,Philadelphia",
Floodgate,715caf16e22061514b2b37d53d656aa1.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/SJin29W8xbOa6_2MR-wt_g/FsSBBXaGjlwkYXCfh1swMkgCATJ_G3urKfn7LowGllZo0yek6CPKl5wEHmpqeoNtlmXolfEUq488H2PNy1YG7fQNWicHwunHHNdHZ4bqII4fjka2Ivx-cYAi_pl42b-N/uGaFYtrsG432TZf64SMo7MSNoCjd7Cx60hGewrTtDzQ),http://www.floodgate.com/,Floodgate IV,SF Bay Area/Silicon Valley,
Forbion Capital Partners,914212cd24be1055fadd35d9cd816f13.gif (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/KGqF5eYlIL7Sx5hgaYTYcQ/gaWN96EeXER7L_J9yuOdkvmAAtNFJrjUUCdy352ZNQ7SI0IA2ZbXGuUiNLOp52MI6gDn9mGymJy4VTPpnmbuvEcOxmNDZ7dhShZfHLU3D9x_pd-RS6beHxto_-oL6aAq/sa2kL4VKrIrcGiy3sxM-KJOScktcn9S83x2y7ZGOzrs),http://www.forbion.com/,Forbion Capital Partners ,"""Naarden, The Netherlands""",
Forerunner Ventures,cc7c7aa5154176e50b3fafc400e2323b.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/_mD-NfvFBR3i1JBEPAjjiA/Pxcz-EDOlRLc6-SByttevc8vdis7dQydG_rozmOxilFIqvEPaU4AFltbnBwDejX7Gghq8V4tW4I2b11C8t18id7F4IDOM_-HgAB8dFw5ZFdIGT5WTdDdHHOAC_m5sDyq/cTYarR3CU9cneNrvKHbjj1P6SlLZKJCNrHSl1kZHXU8),http://forerunnerventures.com/,"Forerunner Ventures III,Forerunner Ventures II,Forerunner Ventures I",SF Bay Area/Silicon Valley,
Formation 8 hardware fund,ocbzej8xmbplps2qq3kh.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/AvvfiZhzZRzJrwzM6AQRJA/8lb0Og3D4aZAVCIOElpWxHUvRLoUmg-lTHnS3dcb2idlKqXpCtmOZmflktCqzxF0Fkp5q1iz04Wvy4eRr4U_5PYyILi8lJwNaDAtU_oK7y4RuNIuFa-lI997s8lVk6s8/Vs7CBrIprvMTSXw3egqxEBMA31LTJgb1kLSQ-gSsieQ),http://formation8.com/,Formation 8 hardware fund I,SF Bay Area/Silicon Valley,
Founders Circle,squarespace (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/7XItj4J_ppFhZ9EttIm59w/4pZA1ewjd8OrKqkgckmlsHa-aMq_H3TsTrLZR8jOrW_UXdyJpBi5BgshkWy69drtVSCbfpfM-2tz_inZwUgZ_JT_AHGlC1h8dXpG1qUFlnU/fE3eo_CInyYTeSKnU5GXmMJG7G9eteia7pw-TifSZqg),http://www.founderscircle.com/,Founders Circle I,SF Bay Area/Silicon Valley,
Founder Collective,a44614ef903df9d1c336bdc0438fac78.gif (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/9lCWI5zKBQqcM2X2pOsYvw/jnBYMKyEjLEVzgCWmvItNCYO9PTzeTNgKtemGEvQuB1pcKAiGUxjJHaVB-zxjQKF_p_NWOYGxQccASNGoJuJfuIPRtz8_PVul8_e3Tu76KorjPdpL6T9goEifJU6Dmh1/SyWXZq_Z8URwJbBQNhoIxenhQR7fL6T_uR4csKUU8gE),http://foundercollective.com/,Founder Collective II,"""New York, NY"",Boston/Cambridge",
Founders' Co-Op,ccc50d7eee6ec77ec8162ddb01771f59.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/UBfJzEq81Ot_U_oQUrHR-Q/aTp4OSLI1IyTqOTWBV2mpAbiT9nlP7SMbIJ4s7u0ymEAJ4X6D38-l16N26lM2pWqHbEZZb94mJrzRJYheH_S26rQg_0ROR1ZvMiNpvGZEh6CescracKE3_U_6E6dHgJk/ZztA5ysvc79PUhu1xA5G-gJ-y44trNtLFgqV6QQAwck),http://www.founderscoop.com/,Founders' Co-Op II,Seattle,
