id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Investor Type,Region Invested,Stage Invested,Thesis,Ticket Size Sweetspot,Value add
d6e7b87a-8440-4170-a802-b5c044b83663,500 Global,company,,500 Global (previously 500 Startups) is a multi-stage venture capital firm invests in founders building fast-growing technology companies.,,500.co,500.co,,,,,100 VC firms Investing In SaaS,"Accelerator,Venture Capital","West Europe,North America,South America,Asia-Pacific,North Europe,South Europe,East Europe","Series A,Seed,Pre-Seed",Great teams,150000,Accelerator
58b558ab-6476-4c45-a350-393cc3417c22,500 Istanbul,company,,,,istanbul.500.co,istanbul.500.co,,,,,100 VC firms Investing In SaaS,Venture Capital,"United Kingdom,South Europe,East Europe,Turkey,Estonia,Latvia,Lithuania,United States","Seed,Pre-Seed","Early stage investments into globally focused teams across Turkey, Eastern Europe & the Baltics",â‚¬500k,"- Introductions to downstream capital, industry experts, & businesses, especially across US / UK supported by the 500 global network
- In-house recruitment & growth teams"
10e720eb-79bb-4f8a-9581-f802d722a459,70V,company,,,,www.70v.com,www.70v.com,,,,,100 VC firms Investing In SaaS,Venture Capital,"North Europe,East Europe","Series A,Seed,Pre-Seed",,,We help founders to build top-notch data-driven sales teams that deliver predictable revenue. 
28547357-d982-408f-b2d6-c89cab5ca593,Adara Ventures,company,,,,www.adara.vc,www.adara.vc,,,,,100 VC firms Investing In SaaS,Venture Capital,"United Kingdom,France,Spain,Italy,Portugal,Ireland {Republic}","Series A,Seed,Pre-Seed","Adara Ventures invests in ambitious businesses, partnering with founders with vision, courage and the capacity to execute. We manage â‚¬180m across three funds, and are actively investing from our â‚¬80m third fund launched in 2019. Focused on early-stage companies with a European footprint, Adaraâ€™s portfolio includes companies dedicated to cybersecurity, data applications and infrastructure, devops, hardware components and digital health.",1.5m,"We have a structured program that comprises Platforms, Partnerships, Communities + Playbooks that focus on solving growing pains. Our key focuses are governance, organisational build, networking and talent."
743ac57c-70f3-4ea1-8614-f77c07daa3c4,Altavia Adventures,company,,Altavia Adventures is the Venture Capital arm of Altavia Group.,,https://www.altavia-adventures.com/fr/,https://www.altavia-adventures.com/fr/,,,,,100 VC firms Investing In SaaS,CVC,West Europe,"Series A,Seed,Pre-Seed","Altavia Adventures is Altaviaâ€™s corporate investment fund. We take minority stakes in BtoB technology start-ups with a recurring business model â€“ SaaS or Marketplace â€“ in retailtech and close to our expertise in communication and commercial activation.

We invest in start-ups seeking to raise seed or series A funding and co-invest with other investment funds.

Our raison dâ€™Ãªtre is to identify new business models and technologies for publishing, marketing, retail, communication, point of sale and packaging.

Our expertise enables us to support visionary entrepreneurs, while preserving their autonomy.
We develop synergies between our portfolio and the Altavia Groupâ€™s subsidiaries.",200k to 2M,
82eb2805-ae5b-4932-8f51-788cecebde46,Angular Ventures,company,,,,https://angularventures.com/,https://angularventures.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,Israel,United Kingdom,North Europe,South Europe","Seed,Pre-Seed",Early Stage. Enterprise. Deep Tech.,1250000,Platform services. Venture Partner program.
bedaf8be-0364-4d7b-8c89-b21bbef9037d,Atempo Growth,company,,,,www.atempogrowth.com,www.atempogrowth.com,,,,,100 VC firms Investing In SaaS,,West Europe,,,,
4664bf30-f63d-4698-af71-2b4f815373bc,Axeleo Capital,company,,,,https://www.axc.vc/,https://www.axc.vc/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Seed,Pre-Seed","B2B Software - Cybersecurity, Fintech, Crytpo & Web3, Enterprise Software",500kâ‚¬ - 1.5Mâ‚¬,"Venture Partners, Platform w. ressources, Business development, Hiring, Strategy, Recurring workshops"
1cd28e32-bc61-4ea7-83a8-3e9906d0b1aa,be-exponential,company,,,,www.be-expoential.com,www.be-expoential.com,,,,,100 VC firms Investing In SaaS,"Angel,Micro VC","United Kingdom,Germany,Netherlands,Austria,Switzerland,Denmark,Sweden,Norway","Seed,Pre-Seed","From seed to scale, we support founders who are ready to go global with technology that redefines markets. We like to solve big problems using exponential technologies that could have a 10x impact.",,Seasoned operators in the European technology landscape
834cf12b-61dc-47e6-b547-70182b9439b0,Caixa Capital Risc,company,,,,www.caixacapitalrisc.es,www.caixacapitalrisc.es,,,,,100 VC firms Investing In SaaS,Venture Capital,"Spain,Portugal",,"B2B SaaS & DeeptechEnterprise Software, Cybersecurity, ML/AI Data, Energy & Cleantech among others","â‚¬0,5M - â‚¬2M",
0fdcdd14-4d2b-4002-8693-54c4856e2489,Camber Partners,company,,,,www.camber.io,www.camber.io,,,,,100 VC firms Investing In SaaS,"Private Equity,Venture Capital","West Europe,North America,South America,Asia-Pacific,North Europe,South Europe,East Europe","Series A,Series B,Series C,Series D+"," Camber focuses on growing B2B SaaS businesses with $3-15m in recurring revenue, and has a strong preference for Product-Led Growth (PLG) models.

Camber Partners believes that modern software companies should be architected for mass distribution. 

In our 25+ years of operating
experience, this has meant scalable, data-driven, and capital-efficient growth methods that, when executed properly, accelerate growth and compound enterprise value. Camber provides the capital and operating expertise to support this rapid, disciplined growth.

Camber's internal Growth team provides functional support in marketing, sales and customer success. Our dedicated data team unlocks the power of marketing, product, and customer data to increase LTV and scale customer acquisition. Camber's hands-on engagement helps achieve the go-to-market execution that growth-stage software companies deserve.

Camber prioritizes investment in growing B2B SaaS businesses with $3-15m in recurring revenue, and has a strong preference for Product-Led Growth (PLG) models.
",$10-25M,
97942f80-4378-4d6d-a4af-5fe1b4feef21,Capchase,company,,,,www.capchase.com,www.capchase.com,,,,,100 VC firms Investing In SaaS,RBF,"West Europe,North America,North Europe,South Europe","Series A,Series B,Series C,Seed,Series D+","Providing fast access to flexible, scalable non-dilutive growth capital for SaaS businesses",$100k-$50m,"Access up to 60% of your predictable ARR on day one. Fuel your growth without taking on debt or diluting your equity.
- Up to $10m in financing
- Term sheet decision as fast as 48h
- A flexible credit line that can grow alongside your ARR"
fadd29cc-e6fe-456b-bb9e-2b2e95f0980c,Cathay Innovation,company,,Cathay Innovation is a global multi-stage venture capital firm investing in startups impacting the world.,,https://cathayinnovation.com/,https://cathayinnovation.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North America,South America,Asia-Pacific,North Europe,South Europe,East Europe","Series A,Series B,Series C,Seed",Global venture capital platform investing in startups positively impacting the world through technology,5-20,"> Accelerating sales growth: dedicated in-house business development team focused on fostering commercial deals ad pertnership between our portfolio companies and our ecosystem of large corporates
> Building global players: we have team on the ground in Europe, the U.S., South-East-Asia, China, Latam and Africa - to support our portfolio companies looking to expand in new regions or gather market intell"
ec2b7a55-84bb-4fcd-a462-e41b2e9e1311,Claret Capital Partners,company,,,,https://www.claret-capital.com/,https://www.claret-capital.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Series A,Series B,Series C","We specialize in providing venture debt to cash-burning companies with proven product-market fit, superior unit economics, strong gross margins and fast growth. We provide debt for various purposes, including M&A, working capital investment and extending runway between equity rounds. We usually invest between 5 and 30 million euros, and look for companies that have generally raised a round of institutional capital, i.e. around Series A-C stage.",5 to 30 million eiros,"Wide network of VC contacts and portfolio companies, who we are keen to made introductions to."
04f0f023-9938-4101-bd06-f6eadaaf33bc,Columbia Lake Partners,company,,,,www.clpgrowth.com,www.clpgrowth.com,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,United Kingdom,North Europe,South Europe,East Europe","Series A,Series B,Series C",Helping founders scale their business with less dilutive capital,$5-10mm,"Large network in the US, portfolio of >60 companies to draw on for support, fundraising support"
1590ef8e-bf93-4ac7-9c68-cbf6b5c7e897,Connect Ventures,company,,,,http://www.connectventures.co/,http://www.connectventures.co/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,East Europe",Seed,"We invest in opinionated products, crafted with love and loved by many.",1000000,Product 
25894fed-cd4a-42fe-af7a-046e895c9bce,Creandum,company,,"Creandum is an early-stage venture capital firm focusing on technology companies within the consumer, software, and hardware industries.",,Creandum.com,Creandum.com,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Series A,Seed,Pre-Seed",European tech startups from pre-seed to series A,EUR 1-10m,"Highest Seed ðŸ‘‰ Series A conversion amongst European VCs (75%+), plus an office in the US with the primary focus of helping European startups hit the ground running over there."
44c6b300-a8f9-4ccb-9985-c1c07eae11a7,DEPO Ventures,company,,,,https://depoventures.com/,https://depoventures.com/,,,,,100 VC firms Investing In SaaS,"Venture Capital ,Syndicate","East Europe,Estonia,Latvia,Lithuania,Germany","Seed,Pre-Seed","Founders-first early-stage investor powered by business angels.
We invest in companies based in CEE or led by CEE founders (CEE = Prague to Bucharest incl Baltics, Athens (EU countries).

We invest in Fintech/DeFi, Blockchain, Web3, Marketplaces, ImpactTech, and DeepTech. Initial traction/market validation is welcomed.",50-250k EUR,"We have a vast network of business angels from different backgrounds, those are C-level executives and ex-founders that are ready to help out our portfolio companies when it comes to mentoring, operations and general advice.

We have DEPO Ventures - VC fund that backed the best founders, but also DEPO Angels - a network that powers the biggest Syndicate in CEE and supports founders that are just starting their journey."
a54e2f64-75c5-45ea-936e-edf6754d92e5,Dev Garage Limited,company,,,,,,,,,,100 VC firms Investing In SaaS,Angel,"United Kingdom,India,East Europe",Pre-Seed,,,
a9da51d8-648a-46c4-9e72-13c5e66091c4,DHENIN MANAGEMENT,company,,,,,,,,,,100 VC firms Investing In SaaS,,,,,,
75754b91-28a0-437c-8448-391b3b82f46d,Duggan Investments,company,,,,,,,,,,100 VC firms Investing In SaaS,Angel,West Europe,"Seed,Pre-Seed","Web3 focus within Sustainability, Wellbeing, transport (electric mobility)",Â£50-150k,"Serial entrepreneur, recent successful exit to Fortune 500 company, engineer, multiple start up experience, blockchain knowledge"
79371473-d3b4-42ca-b381-4f85cf1f7c90,Dutch Founders Fund,company,,,,https://www.dutchfoundersfund.com/,https://www.dutchfoundersfund.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Series A,Seed,Pre-Seed",Looking for B2B marketplaces and Network effects ,500k-1m,Hands on fund with a lot of expertise and backed by a group of well known Dutch founders
1b2ced31-80b5-40d2-b7e1-cffad44c8485,Element Finance,company,,,,www.elementfinance.com,www.elementfinance.com,,,,,100 VC firms Investing In SaaS,RBF,"West Europe,North America,South America,North Europe,South Europe,East Europe,Australasia","Series A,Series B,Pre-Seed",Growth Debt for B2B SaaS Companies,"1,000,000",
cf0f345e-3118-4556-ac27-966d8cec83b8,EVP,company,,,,www.evp.com.au,www.evp.com.au,,,,,100 VC firms Investing In SaaS,Venture Capital,"Australia,New Zealand","Series A,Seed",Weâ€™re an ANZ venture firm focused on early-stage SaaS and marketplace companies.,"$3,000,000",
6c68bfc0-a3cc-4d4e-995a-40df2de8399d,Finch Capital,company,,,,www.finchcapital.com,www.finchcapital.com,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,Singapore,North Europe,South Europe,East Europe,Indonesia","Series A,Series B","Financial Technology, AI & IoT",2 - 10 mio,Strong financial services network and expertise
160f1da2-8d19-4103-a8fe-c73351e23cda,Five Elms Capital,company,,,,https://www.fiveelms.com/,https://www.fiveelms.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North America,South America,Asia-Pacific,North Europe,South Europe,East Europe","Series A,Series B","Five Elms Capital is a leading growth equity firm that invests in B2B software businesses. We invest $5-75 million in companies with $2-20 million in ARR. Minority or majority investments, growth capital, or liquidity for founders and early investors. Currently investing out of a $780 million Fund.",$5-75 million,"We specialize in partnering with businesses at important company inflection points, working alongside management to help them attract experienced and diverse functional leaders, double down on product development, scale sales and marketing, identify M&A opportunities, and provide liquidity to passive shareholders and founders. Weâ€™ve partnered with over 50 SaaS businesses and are big believers in scaling teams and institutionalizing processes without crushing souls and killing culture.Â "
6cb38b20-b50f-49f0-a9a3-120688188b87,Float,company,,,,www.gofloat.io,www.gofloat.io,,,,,100 VC firms Investing In SaaS,RBF,"West Europe,North Europe","Series A,Series B,Seed,Pre-Seed","Float offers revenue-based credit to subscription businesses:
Non-dilutive, within days. ","â‚¬50,000-â‚¬2,000,000","- capital within days
- keep ownership
- no equity or personal guarantees
- one fee, easy to understand
- flexible, you can configure your loan
- secure, EU-based company following GDPR regulation"
143362aa-61cc-4b97-8392-0777528d4f21,FM Ventures,company,,,,https://www.fmventures.llc/,https://www.fmventures.llc/,,,,,100 VC firms Investing In SaaS,Venture Capital,North America,"Series A,Series B,Seed",,,
d6d33df1-fcca-46b1-b1af-e73d7251da10,Foresight Group,company,,,,https://www.foresightgroup.eu/,https://www.foresightgroup.eu/,,,,,100 VC firms Investing In SaaS,"Venture Capital ,Private Equity","United Kingdom,Ireland {Republic}","Series A,Seed,Pre-Seed","Sector agnostic. High growth, clearly differentiated businesses in a growing market.",Â£250k-5m,"130+ portfolio companies, wide-ranging experience across tech and SaaS, cross-pollination between portfolio companies"
ac278e00-5663-4aab-95ce-1cdedba16f7f,Fortino Capital,company,,,,https://www.fortinocapital.com/,https://www.fortinocapital.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe","Series A,Seed",We invest in early- and mid-cycle B2B SaaS businesses to enable them in their growth.,â‚¬1-5M tickets,"- Access to C-level executives in the Benelux and beyond
- Peer-to-peer networking platform among founders and CxOs
- Support with organisational design, performance management, and hiring top talent"
cd3f1ad8-40bc-4639-b0dc-b92eb00cec81,Forward Partners,company,,,,https://forwardpartners.com/,https://forwardpartners.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,United Kingdom,"Seed,Pre-Seed","Applied AI, ecommerce and marketplaces",Â£500k-Â£1.5m,"Hands on studio team covering development, design, product, talent and growth"
b6e1e24a-843c-44e8-ae27-ed4db73b9994,Full In Partners,company,,,,fullinpartners.com,fullinpartners.com,,,,,100 VC firms Investing In SaaS,"Private Equity,Venture Capital","West Europe,North America","Series B,Series C","High-growth, high-efficiency software and marketplace businesses",$10-50M,"Strong boots-on-the-ground operating resources in finance, sales and marketing, international expansion. Will drive strategic M&A on your behalf"
fea03af4-881d-4030-8f9f-7457803a85fb,Fuse Capital,company,,,,www.fuse-capital.com,www.fuse-capital.com,,,,,100 VC firms Investing In SaaS,"Investment Bank,Angel","West Europe,South America,Asia-Pacific,North Europe,South Europe,East Europe,United Arab Emirates,Australasia",Series A,,"5,000,000","No-dilution, No change of control, No board seats, Cross Boarder (Worldwide support), Leverage hard and soft assets (IP), No covenants funding up to $25MM"
191844a2-e6c9-40a8-a9ef-8a6fef9d1f74,G+D Ventures,company,,,,https://www.gi-de.com/en/ventures,https://www.gi-de.com/en/ventures,,,,,100 VC firms Investing In SaaS,Venture Capital,"Estonia,Latvia,Lithuania,Germany,France,Spain,Italy,Belgium,Netherlands,Luxembourg,Austria,Denmark,Sweden,Portugal,Ireland {Republic},Bulgaria,Croatia,Cyprus,Czech Republic,Finland,Greece,Hungary,Malta,Poland,Romania,Slovakia,Slovenia","Series A,Series B,Seed","We are a theme-driven investor focusing on growth-oriented companies, whose innovations promote and protect trust in our society. With this goal in mind, we established a â‚¬50m co-investment vehicle with the European Investment Bank and Giesecke+Devrient (G+D), a European trust leader. We invest in early-stage European TrustTech startups.

TrustTech expands the traditional definition of cybersecurity to include technologies that promote trust across all layers of our digital ecosystem: infrastructure, identity, regulation and ethics.",â‚¬500k - â‚¬3m (with additional allocation for follow-on investments),"We designed our fund to move quickly, driven by financial returns while leveraging the support of our LP base. 

We draw on our combined specialized TrustTech network to connect our startups with the right people. Our ecosystem of CISOs, universities, clients, partners and internal experts opens the doors to new ideas and markets. 

We are highly involved with our startups and serve as a sounding board to founders and management on company building and scaling.

We leverage our deep domain knowledge and decades of VC experience to help our startups make the right decisions to move forward.
"
54dd0c48-61f7-4476-825c-b8363e7e8a9f,GoHub Ventures,company,,,,https://gohub.vc/en/,https://gohub.vc/en/,,,,,100 VC firms Investing In SaaS,CVC,"West Europe,North America,South America,North Europe,South Europe,East Europe","Series A,Seed","GoHub Ventures is a CVC focused on early stage investments in B2B Saas startups which have developed deeptech solutions. Our investment tickets range between â‚¬500k - â‚¬3m in startups raising Seed - Late Series A rounds, and with a fully international approach. 

We look for startups in the fields of cybersecurity, robotics, AI, ML, NLP, cloud infrastructure, web3, digital twins, quantum computing, synthetic data, edge computing, data OS, 5G, industrial IoT, sustainability and many more... always with a deeptech approach and optimizing or automating a business process.",â‚¬500.000 - â‚¬3.000.000 (sweet spot â‚¬1.000.000 - â‚¬1.500.000),"Being a CVC means that we act as a strategic investor, looking to add value to the startups that are within our portfolio. We do this by developing paid POCs with our parent company, Global Omnium, which is one of the top 5 largest water utilities globally, as well as helping in opening new international markets, and leveraging Global Omnium's strong network to scale your solution.

We currently have +21 startups in our portfolio and have developed POCs with all of them, some are still ongoing providers of services for Global Omnium and its technological subsidiary Idrica.
"
dd63714e-bbb5-46c9-88f8-916a3aa396a1,Golden Section,company,,,,https://www.goldensection.com/,https://www.goldensection.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,North America,"Series A,Pre-Seed",,,
fb27a3ff-d028-4bd4-976c-dcf415ea8da1,henQ,company,,,,henq.vc,henq.vc,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Series A,Seed,Pre-Seed","At henQ we are doing things a little bit differently: we do not believe in the conventional VC power law of having one ""winner"" in our portfolio that ""makes up"" for the 9 other ""losers."" Instead, we are carefully selecting 2 or 3 companies to invest in each year. We expect each of them to become a tremendous success: a market-leading company with many happy customers that is in charge of its own destiny.",â‚¬500k - â‚¬5M,
05eab8a2-074b-4b5e-add3-717bd487ac18,id4 ventures,company,,,,https://www.id4.vc,https://www.id4.vc,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Series A,Seed,Pre-Seed",Pre-seed/ seed stage,250k+,we help in fundraising as we are investor in VC funds in Europe and USA. One of our partner is an ex CTO so he helps the dev team of any startups we invest in.
e7e4db9e-e73b-4e9f-bf64-1370d3a2a94a,Illuminate Financial,company,,,,"www.illuminatefinancial,com","www.illuminatefinancial,com",,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North America,Asia-Pacific,North Europe,South Europe,East Europe,Australasia","Series A,Series B,Seed,Pre-Seed",Illuminate Financial is a thesis-driven venture capital firm dedicated to fintech and enterprise software companies building technology solutions for financial services. ,0.5-5m USD,"Strategic connection to financial services like banks, hedge funds, asset managers, investment managers etc. "
e3201c3a-063f-4ca5-ba34-1d30bc7430dd,Impulse VC,company,,,,https://impulsevc.com/,https://impulsevc.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North America,North Europe,South Europe,East Europe","Series A,Series B,Seed","B2B: SaaS, Marketplace + PropTech, AdTech, MarkTech",$1-3M,"Network, digital marketing expertise"
f557cab8-9a86-40eb-bf8b-03df24edda12,Indico Capital,company,,,,www.indicocapital.com,www.indicocapital.com,,,,,100 VC firms Investing In SaaS,Venture Capital,"Spain,Portugal","Seed,Pre-Seed",B2B SaaS and Marketplaces. ,â‚¬500k,
