VC,HQ,Investment Region,Focus areas,Stage,Ticket size,Website,Portfolio examples in the Baltics,Investment Tendency
Superangel ,"Tallinn,Stockholm","Baltics,Nordics,Global","AI,Software,Fintech,Mobility,Robotics,Logistics,B2B,Deeptech,SaaS","Pre-Seed,Seed",300-1M€,https://www.superangel.io,"Bolt, Starship, Veriff, Montonio, Salv","B2B,B2C"
Specialist VC,Tallinn,"Baltics,Finland,Ukraine","Marketplace,Saas,AI,Software,Deeptech,Fintech,Enabled Hardware,Platforms,Mobility","Pre-Seed,Seed,Series A,Secondaries",<3M€,https://specialist.vc,"Bolt, Veriff, Comodule, Starship, Lightcode Photonics",B2B
Lemonade Stand,Tallinn,"Baltics,Eastern Europe","Agnostic,AI,Software,Deeptech,SpaceTech,Defense,Cleantech","Pre-Seed,Seed",50k-300k€,https://lemonadestand.ee,"Planet42, Montonio, Woola, Veriff, Interactio",B2B
Tera VC,Tallinn,"Baltics,Denmark,Sweden,Finland,Czech Republic ,Poland","Agnostic,AI,ML,Automation,Fintech","Pre-Seed,Seed,Series A",200k-1.5M€,https://www.tera.vc/#content,"Montonio, Monese, Lingvist, Scoro","B2B,B2C"
Change Ventures,Tallinn,"Baltics,Baltic diaspora","Agnostic,Tech","Pre-Seed,Seed",100k-500k €,https://www.changeventures.com/#team,"MeetFrank, Printify, Veriff, Nordigen","B2B,B2C"
Karma VC,Tallinn,"Baltics,Nordics,Europe","Deeptech,Software,Tech","Seed,Series A",<5M€,https://www.karma.vc,"Plumbr, Xolo, MeetFrank, Tuum","B2B,B2C"
Trind VC,Tallinn,Europe,"Agnostic,Enterprise Software,Marketplace","Pre-Seed,Seed",100k-1M€,https://trind.vc,"Ready Player Me, Yaga, Sonarworks","B2B,B2C"
Honey Badger (Not a fund),Tallinn,"CEE,Baltics,Global","AI,Impact,Cleantech,Saas,Defense","Pre-Seed,Seed",50k-150k€,https://badger.ee,"Patchstack, Paul-Tech, Grünfin Vok Bikes","B2B,Mostly Defence"
Plural Platform,"Tallinn,London",Europe,"Health,Education,Governance,AI,Frontier tech,Climate","Seed,Series A",<5M€+,https://pluralplatform.com,"Ready Player Me, Certific","B2B,B2C"
Sten+Taavet (not a fund),Tallinn,Europe,"Fintech,Climate,Education,Crypto,DeFi,Health,Work,Social,Web3","Pre-Seed,Seed,Growth",250k-1M€,https://taavetsten.com/,"Koos, Arbonics, NFTPort",Invests with Plural Platform
Startup Wise Guys,Tallinn,"Baltics,Italy,Denmark,Africa,Global","Fintech,Cyber,Saas,Sustainability,Web3,Proptech","Accelerator,Pre-Seed,Seed",30k-250k€,https://startupwiseguys.com,"Fractory, Planet42, Comodule, EstateGuru, VOCHI, .kevin, Ondato, Wolf 3D","B2B,B2C"
Spring Capital,Tallinn,"Baltics,Nordics,CEE",Agnostic,"Seed,Growth",75k-700k€,https://springcapital.ee,"Bolt, Monese, Ready Player Me","B2B,B2C"
Little Green Fund,Tallinn,Baltics,"Agnostic,Cleantech,Climate",Seed,<50k€,https://www.littlegreenfund.com,"Fusebox, Beast, Cuploop","B2B,B2C"
Yolo VC,Tallinn,Global,"Fintech,Gaming","Seed,Series A",100k-20M€,www.yolo.io,TBD,"B2B,B2C"
Siena Secondary Fund,Tallinn,"Baltics,Nordics,CEE,Finland",Agnostic,Secondaries,500k-5M€,www.siena2ndary.com,"Bolt, Testlio, Starship","B2B,B2C"
2C Ventures,Tallinn,Northern Europe,Cleantech,"Pre-Seed,Seed,Series A",250k-1M€,https://www.2cventures.eu,,
SmartCap Green Energy Fund,Tallinn,Estonia,Cleantech,"Seed,Series A,Growth",,https://smartcap.ee/about-us/sc-gf/,"Vok Bikes, eAgronom, Paul-Tech",Follower
Thorgate Ventures,Tallinn,"Europe,Estonia","Agnostic,Tech",Seed,<50k€,http://thorgateventures.com,"Xolo, Seedcamp, Waybiller, Globalreader, Remato, Moderan, Cuploop",B2B
Health Founders,Tallinn,"Europe,Nordics,Baltics",Healthtech,"Incubator,Accelerator,Pre-Seed",n/a,https://healthfounders.ee/,n/a,"B2B,R&D"
Nordic Ninja,"Tallinn,Helsinki,Stockholm","Nordics,Baltics,Northern Europe","Deeptech,Sustainability,Governance","Series A,Series B",2M-8M€,https://nordicninja.vc/fund/,"Arbonics, Bolt, Pactum","B2B,B2C"
Metaplanet Holdings,"Tallinn,US","Europe,Global","Agnostic,Deeptech,AI,Biotech,Crypto,Healthtech,Mobility","Seed,Series A,Pre-Seed",$500k-2M,https://metaplanet.com,"Aerones, Woola, Biomatter, Antrandes","B2B,B2C"
Tenity VC,"Tallinn,Zurich","Europe,Global","Fintech,InsurTech","Pre-Seed,Seed,Series A",50k-250k€,https://www.tenity.com,"Lyfery, Ziv4, Sweephy, Lawato","B2B,B2C"
Enefit Ventures,Tallinn,Europe,"Climate,Energy,Mobility","Seed,Series A",500k€+,TBD,TBD,"B2B,B2C"
FFF.vc (not a fund) ,Tallinn,Estonia,Agnostic,"Seed,Pre-Series A,Series A",500k-1.5M€,https://fff.vc,"Katana, Insly, DriveX","B2B,B2C"
Opus 11 (not a fund),Tallinn,"Baltics,Europe","Agnostic,Tech,Hardware","Pre-Seed,Seed,Series A",140k€,https://opus11.vc/,"Katana, VOOL, Yummi, ParcelSea, Mifundo","B2B,B2C"
Sunly (not a fund),Tallinn,"Baltics,Poland","Electrification,Climate,Energy,E-mobility","Pre-Seed,Seed",100k-500k€,https://sunly.ee/en/sunly-startup-en/,"Skeleton, Solarstone, Beast, GridIo","B2B,B2C"
Eigen Kapital (not a fund),Tallinn,"Europe,Estonia","Agnostic,Energy,Foodtech,Healthtech","Seed,Growth",200k-500k€,http://www.eigenkapital.co,"Roofit.solar, Milrem Robotics, Timbeter, Hepta Airborne",B2B
Kaamos Group (not a fund) ,Tallinn,"Estonia,Global","Agnostic,Construction","Pre-Seed,Seed,Series A",<100k€,https://kaamos.ee/start-up/,"Bolt, Veriff, FoodDocs, Fractory, Comodule, Remato, Kingdom, EyeVi, ","B2B,B2C"
Icebreaker VC,"Tallinn,Helsinki,Stockholm","Estonia,Finland,Sweden","Agnostic,Tech","Pre-Seed,Seed",150k-800k€,https://www.icebreaker.vc,"Single.Earth, Cachet, Klaus",B2B
Verge HealthTech Fund,"Tallinn,Singapore",Global,Healthtech,"Pre-Seed,Seed",$500k-1M,https://www.vergehc.com/,"LungPass, Reach52, RetiSpec, MXLabs, Mobio Interactive, Saludtools, VitruvianMD, Kipuwex","B2B,B2C"
Arbuust,Tallinn,"Baltics,Estonia","Cleantech,Healthtech",Pre-Seed,25-50k€,https://www.linkedin.com/company/arbuust/,TBD,"B2B,B2C"
Practica VC,"Vilnius,Tallinn",Baltics,"Agnostic,Tech","Seed,Series A,Pre-Seed",300k-3M€,https://practica.vc,"PVCase, Montonio, Ovoko, Atrandi Bio","B2B,B2C"
Contrarian Ventures,Vilnius,"Europe,Israel","Climate,Energy,Mobility",Seed,1M-4M€,https://www.cventures.vc/,"Metafuels, Ember, PVcase",B2B
Open Circle Capital,Vilnius,"Baltics,Global","ICT,Robotics,High-Tech,Deeptech","Seed,Pre-Seed",100-500k€,https://www.opencirclecapital.lt,"Whatagraph, Monimoto, Solarbank",B2B
Katalista Ventures (hybrid accelerator / fund),Vilnius,"Baltics,Finland","Climate,Software,Enterprise","Seed,Accelerator",5k-100k€,https://www.katalistaventures.com/,"Elektrum, BaltCap, Tinggly",B2B
Coinvest Capital,Vilnius,Lithuania,"GreenTech,Climate,Healthtech,Deeptech,SpaceTech,AI,Defense","Pre-Seed,Seed",<1.6M€,https://www.coinvest.lt/en/homepage,"WeSky, OxiPit, Colibris",B2B
Baltic Sandbox,Vilnius,Baltics,"AI,Cyber Security,Software,Healthtech,Biotech,Robotics,SpaceTech","Pre-Seed,Seed,Accelerator",<400k€,http://www.balticsandbox.com,"Zenoo, Openface, Searadar","B2B,R&D"
Firstpick,Vilnius,"Baltics,Global","Agnostic,Fintech,Deeptech,Consumer marketplace,SaaS","Pre-Seed,Seed,Accelerator", 50-250k€,http://www.firstpick.vc/,"Amlyze, Cyber Upgrade, Samphire",B2B
Bridgio,Vilnius,"Baltics,CEE","Embedded Hardware,Software,GreenTech",Accelerator,100k-200k€,https://bridgio.eu/,TBD,"B2C,B2B"
Iron Wolf Capital,"Vilnius,London","Baltics,Europe","AI,Deeptech","Seed,Pre-Seed,Growth",250k-2M€,https://www.ironwolfcapital.com,"Repsense, Speiz, Deepfin",B2B
Launchpad Capital,"Vilnius,San Francisco","Baltics,San Francisco",Fintech,"Pre-Seed,Seed",n/a,https://www.launchpad.vc/,"Harmonic, Paperwork, Embedded",B2B
BADideas.fund,Riga,"Baltics,CEE","Marketplace,AI,Software,Fintech,Agnostic,SaaS","Pre-Seed,Seed",50K-150k€,https://badideas.fund/,"Breezit, Recruitlab, FUEL finance",B2B
ZGI Capital,Riga,Latvia,Agnostic,Seed,€500k - €5M,https://www.zgi.lv/offer/,"Hansamatrix, eAgronom, Mobilly, Nordic Group",
RubyLight,Riga,"Baltics,Global","Communication,Content,Social,Crowdsourcing","Seed,Series A",n/a,https://www.rubylight.com/,"Qfer, Bolt, Tandem, Yaga, Ready Player, Me",B2C
Atomico,London,"Baltics,Nordics,Europe","Digital work,Enterprise data & automation,Internet infrastructure,Mobility,Industrial automation,Frontier tech,Climate,Engaged consumer,Food,Digital life,Health,Empowered individuals,Fintech",Series A,1M-15M€,https://atomico.com,"Pactum, Katana, Klarna",B2B
Seedcamp,London,"Europe,CEE",Agnostic,"Pre-Seed,Seed",350k-1M$,https://seedcamp.com,"Salv, Wise","B2B,B2C"
Notion Capital,London,Europe,"B2B,Crypto,Health,Fintech,SaaS","Pre-Seed,Seed,Series A,Series B,Series C",<£10M,https://notion.vc/,"Dixa, Interactio, Adfenix",B2B
Project A,London,Global,"Digital,Agnostic","Pre-Seed,Seed,Growth,Series A",1-30M€,https://www.project-a.com,Pactum,"B2B,B2C"
Passion Capital,London,Global,"Tech,Agnostic",Seed,200k-15M,https://www.passioncapital.com,"Remato, Salv",B2B
Mosaic Ventures,London,Europe,"AI,ML,Fintech,Health,Edtech,Marketplace,SaaS","Seed,Series A,Pre-Seed",$1-10M,https://www.mosaicventures.com,"Veriff, Lightyear","B2C,B2B"
Angluar Ventures,London,"Europe,Israel","Agnostic,Tech","Pre-Seed,Seed,Series A",$200k-3M,https://angularventures.com,"Planable, Valohai",B2B
Balderton,London,Europe,Agnostic,"Seed,Series A,Series B,Series C",3M-50M€,balderton.com,"Revolut, Aircall, Zego","B2B,B2C"
Eight Roads Ventures,London,"Europe,Israel,India,China,Japan,US","Agnostic,Fintech,SaaS","Series A,Series B,Series C",$5M-$50M,https://eightroads.com/en/,Interactio,B2B
Accel,London,Global,Agnostic,"Seed,Series A,Series B",$1M-$50M,https://www.accel.com,"Vinted, Veriff, kevin","B2B,B2C"
Dawn Capital,London,"Europe,Baltics","Data,Fintech,Security,Privacy,SaaS","Series A,Series B",10M-40M€,https://dawncapital.com,Lokalise,B2B
LocalGlobe,London,"Global,Europe",Agnostic,"Seed,Series A",500K-8M€,https://localglobe.vc,KOOS,B2B
Flashpoint Venture Capital,"London,Riga,New York,Tel Aviv,Budapest,Warsaw","Europe,Baltics,Israel","Agnostic,Software","Seed,Series A",n/a,https://flashpointvc.com/,BOB W,
TrueSight,"London,Stockholm","Nordics,UK","Agnostic,AI,Fintech,Edtech,Healthtech","Pre-Seed,Seed",<10M€,https://www.truesight.vc,"Rendin, Jobbatical","B2B,B2C"
Northzone,"London,Stockholm,New York","Europe,US",Agnostic,"Seed,Series A,Series B",< $25M,https://northzone.com,Katana,"B2B,B2C"
Concentric,"London,Copenhagen","Europe,Africa","Financial Services,Real Estate,Industrial,Mobility,B2B Marketplace","Seed,Series A,pre-Series A",€500K-5M,https://concentric.vc/,Insly,B2B
Giant Ventures,"London,Copenhagen,LA",Global,"Industrial,Climate,Health","Seed,Series B+",<20M€,https://www.giant.vc/,TBD,"B2B,B2C"
Index,"London,Geneva,San Francisco",Global,Agnostic,"Seed,Series A,Growth",<15M€,https://www.indexventures.com,"Wise, Skype, Montonio","B2B,B2C"
Eurazeo,"London,Paris",Europe,Agnostic,"Pre-Seed,Seed,Growth,Series A,Series B",30-200M€,https://www.eurazeo.com/en,kevin,"B2B,B2C"
Picus Capital,"London,Munich,Berlin,New York,Beijing",Global,"Real Estate,Fintech,Insurtech,Mobility,HRtech,Renewable Energy,E-Commerce,Health","Pre-Seed,Seed,Series A",250k€-3M€,https://www.picuscap.com,TBD,"B2B,B2C"
Hummingbird VC,"London,Antwerp",Europe,Agnostic,"Seed,Pre-Seed,Series A",100k-10M€,https://www.hummingbird.vc,MeetFrank,"B2B,B2C"
Flyer One VC,"London,Kyiv,Warsaw","Nordics,Europe,America","B2B,SaaS,AI,Consumer Space","Seed,Series A",100k-1M€,https://www.flyerone.vc/,99Math,"B2B,B2C"
Molten Ventures,"London,Dublin","Europe,Global",Agnostic,Series A,5M-20M€,https://www.moltenventures.com/,Bianalyse,B2B
Superhero Capital,Helsinki,"Baltics,Finland,Nordics",Agnostic,"Pre-Seed,Seed",50k-1M€,https://superherocapital.com,"Attractive.ai, Zadaa, Leadfeeder","B2B,B2C"
Voima Ventures,Helsinki,"Baltics,Nordics","Deeptech,AI","Pre-Seed,Seed,Series A,Series B",200k-3M€,https://voimaventures.com,ÄIO,"B2B,R&D"
Maki VC,Helsinki,"Nordics,Baltics,Europe","Deeptech,Agnostic","Pre-Seed,Seed,Series A",300k-3M€,https://maki.vc,TBD,B2B
Gorilla Ventures,Helsinki,"Estonia,Denmark,Sweden,Finland","Agnostic,Software","Pre-Seed,Seed",50k-200k€,https://gorillacapital.fi,TBD,B2B
Nordic FoodTech VC,Helsinki,"Nordics,Baltics","Foodtech,Agtec,Food-related healthtech","Seed,Series A",200k-1M€,www.nft.vc,"ÄIO, Kuva Space","B2B,R&D"
Nordic Science Investments,Helsinki,Baltics,Deeptech,"Pre-Seed,Seed,Series A",50k-1.5M€,https://nordscience.fi,,R&D
Wave Ventures,Helsinki,"Nordics,Baltics","Agnostic,Tech","Pre-Seed,Seed",50k+ €,https://wave.ventures/,TBD,B2C
Kvanted,Helsinki,"Nordics,Baltics",Industrial tech,"Pre-Seed,Seed,Series A",500k-3M€,https://www.kvanted.com/,Fractory,B2B
First Fellow Partners,Helsinki,Europe,Agnostic,"Seed,Series A",5M-10M€,https://www.firstfellow.com/,"KiloHealth, NFTPort","B2B,B2C"
Inventure,"Helsinki,Stockholm","Baltics,Nordics","Agnostic,Deeptech","Seed,Series A",1M-3M€,https://inventure.vc,"Jobbatical, Scoro, Lingvist","B2B,B2C"
Bonnier Capital ,Stockholm,"Baltics,Nordics,Europe","B2B SaaS,SaaS,Software,B2B Marketplace","pre-Series A,Series A",>1M€,https://bonnierventures.com/,FoodDocs,B2B
J12 Ventures,Stockholm,"Europe,Baltics","Software,AI","Pre-Seed,Seed",100k-2M€,https://www.j12ventures.com/,Jeff,B2B
Rymdkapital ,Stockholm,Nordics,SpaceTech,"Pre-Seed,Seed",100k-5M€,https://rymdkapital.se/,,B2B
Node VC,Stockholm,Nordics,"Gaming,Media,Healthtech,Fintech,IoT,AI,Tech","Pre-Seed,Seed",n/a,https://www.node.vc/,TBD,"B2C,B2B"
Norrsken VC,Stockholm,Europe,Tech,"Seed,Series A",500k-2M€,https://www.norrsken.vc/,Grünfin,"B2B,B2C"
Creandum,"Stockholm,London,Berlin,San Francisco","Baltics,Nordics,Europe","Agnostic,Enterprise,Consumer","Seed,Series A,Growth",200k-10M€,https://www.creandum.com,Bolt,"B2B,B2C"
EQT,"Stockholm,Berlin,London,Paris,San Francisco",Europe,Agnostic,"Seed,Series A,Growth",1M-75M€,https://eqtventures.com,"Single.earth, Vinted","B2B,B2C"
Earlybird Digital East Fund,Berlin,"Baltics,CEE,Turkey",ICT,"Seed,Series A,Pre-Seed",>500k€,https://earlybird.com,"UiPath, Payhawk, FintechOS, Binalyze",B2B
BlueYard Capital,Berlin,"Europe,US","Crypto,Web3,Biology,Data",Seed,1-3M€,https://www.blueyard.com/,TBD,"B2B,B2C"
Square One VC,Berlin,Europe,"Tech,Agnostic,SaaS","Pre-Seed,Seed",350k-3.5M€,https://squareone.vc/,Pipedrive,B2B
Global Founders Capital,Berlin,Global,Agnostic,"Pre-Seed,Seed,Series A,Series B,Growth",200k-8M€,https://www.globalfounderscapital.com/,Klaus,"B2B,B2C"
Heartfelt,Berlin,"Europe,US","Agnostic,AI,Tech,Saas,Fintech,Biology,GreenTech",Pre-Seed,100k€+,https://heartfelt.capital/,"Inspectle Foods, HeyLisa, Haslle","B2B,B2C"
HV Capital,"Berlin,Munich","Europe,Global",Agnostic,"Series A,Series B,Growth",500k-10M€,https://www.hvcapital.com/,,
Cherry Ventures,"Berlin,London,Stockholm",Europe,Agnostic,"Pre-Seed,Seed",300k-3M€,https://www.cherry.vc,TBD,"B2B,B2C"
Speedinvest,"Berlin,London,Munich,Paris,San Francisco,Vienna",Europe,"Deeptech,Fintech,Health,Industrial tech,SaaS","Pre-Seed,Seed",700k-1.3M€,https://www.speedinvest.com,"Tuum, Investly, Kevin",B2B
Verve Ventures,"Berlin,Cambridge ,Lausanne,Paris,Zug,Zurich",Europe,"Cyber Security,Fintech,Medtech,Diagnostics,Biotech,Robotics,Deeptech,Climate","Seed,Series A",500k-5M,https://www.verve.vc,"Fractory, Estateguru",B2B
Byfounders,"Copenhagen,Stockholm","Baltics,Nordics","Agnostic,Software","Pre-Seed,Seed,Series A",500k-4M€,https://www.byfounders.vc,BOB W,"B2B,B2C"
People Ventures,Copenhagen,"Nordics,Europe","Agnostic,B2B SaaS,Digital Health,SaaS","Seed,Pre-Seed",250k-1.5M€,https://peopleventures.vc/,"Radiobotics, Goodiebox, Son of a Tailor, Zoios, Inniti","B2B,B2C"
NOON Ventures,Copenhagen,Global,"Climate,Deeptech","Pre-Seed,Seed,Growth",2-5M€,https://www.noon-ventures.com/,TBD,"B2B,B2C"
Dreamcraft Ventures,Copenhagen,"Nordics,Baltics,Germany","Agnostic,AI,Deeptech","Pre-Seed,Seed",<5M€,www.dreamcraft.vc,TBD,"B2B,B2C"
Nordic Secondary Fund,Copenhagen,"Nordics,Baltics",Agnostic,"Series A,Series B+",2M-9M€,https://www.n2f.vc/,"Kilo Health, Bob W",B2C
Butterly Ventures,"Oulu,Helsinki,Stockholm","Baltics,Nordics","Deeptech,Enabled Hardware","Pre-Seed,Seed",100k-550k€,https://butterfly.vc,TBD,B2B
Alven,"Paris,London",Europe,"Web3,Frontier tech,Digital Brands,Data,Developer tooling,Fintech,SaaS,Marketplace","Pre-Seed,Seed,Series A",100k€-15M€,https://alven.co,,"B2B,B2C"
Brighteye Ventures,"Paris,London",Europe,Edtech,"Pre-Seed,Seed,Series A",300k-5M€,http://www.brighteyevc.com/,Memby,"B2B,B2C"
AXA Venture Partners (AVP),"Paris,London,New York","Europe,US","SaaS,Digital Health,Fintech,Insurtech","Series A,Growth",1-50M€,https://www.axavp.com/,TBD,B2B
Portage VC,"Paris,Montreal,Florida,Toronto,New York",Global,Fintech,"Seed,Series A,Series B,Series C",1-30M€,https://portagevc.com,Tuum,B2B
OTB Ventures,Warsaw,CEE,"Agnostic,Deeptech,SpaceTech,AI",Series A,$1-15M,https://otb.vc/,"Fractory, Kevin",B2B
bValue VC,Warsaw,"CEE,Europe,Baltics",Agnostic,"Pre-Seed,Seed,pre-Series A",100k-15M€,https://bvalue.vc/,HeavyFinance,B2B
Movens Capital ,Warsaw,"Baltics,CEE,Ukraine","Fintech,Deeptech,E-Commerce","Seed,Series A",250k-1M€,https://movenscapital.com/movensvc/,TBD,
SMOK.vc,"Warsaw,San Francisco","CEE,Baltics","Software,Gaming","Pre-Seed,Seed",100k-1M€,https://smok.vc,MX Labs (Estonia),"B2B,B2C"
ff Venture Capital,"Warsaw,New York","Poland,Europe","Fintech,Insurtech,Applied AI,Drones,Robotics","Seed,Series A",$300k-700k,https://www.ffvc.com,"Montonio, Salv",B2B
Dutch Founders Fund,Amsterdam,"Europe,UK","Digital,B2B SaaS","Pre-Seed,Seed",500k-3M€,https://www.dutchfoundersfund.com,TBD,"B2B,B2C"
Curiosity,Amsterdam,"Benelux,Nordics,Baltics","AI,HRtech,Fintech,Proptech,Legaltech,Enterprise Software,Cyber Security,Marketing tech,E-Commerce,Logistics,DevOps,B2B Software","Seed,pre-Series A,Series A",500k-€1.5M,https://www.curiosityvc.com,Alpha3D,B2B
Airbridge ,Amsterdam,Europe,"Agnostic,Software","Seed,Series A",1-3M€,https://airbridge.nl,TBD,"B2B,B2C"
Acrobator VC,Amsterdam,"CEE,Baltics","AI,ML,Cybersecurity,Fintech,Data","Pre-Seed,Seed",$200k-$1.25M,https://acrobator.vc/,,B2B
Keen Venture Partners,"Amsterdam,London",Europe,"Agnostic,Tech,SaaS,AI,Marketplace","Series A,Series B",5M-10M€,https://www.keenventurepartners.com/,TBD,"B2B,B2C"
Vendep Capital,Espoo,"Baltics,Nordics",SaaS,"Pre-Seed,Seed,Series A",100k-3M€,https://www.vendep.com,"AlphaSense, Xolo, Leadfeeder, Happeo, Appfollow",B2B
Possible Ventures,Munich,Global,"Agnostic,Climate,Healthtech","Pre-Seed,Seed",250k-500k€,http://www.possible.ventures/,Solid World,B2B
42CAP,Munich,Europe,B2B Software,"Pre-Seed,Seed",500k-2M€,https://www.42cap.com/,"Katana, Teemyco",B2B
G+D Ventures,Munich,Europe,"Payments,Fintech,Digital Health,Governance","Seed,Seed+,pre-Series A,Series A",500k-3M€,https://www.gi-de.com/en/ventures,Salv,B2B
3VC,Vienna,"CEE,DACH","Agnostic,Tech","Seed,Series A,Series B",1-10M€,https://three.vc,Pactum,B2B
UNIQA,Vienna,"Europe,CEE","Fintech,Insurtech,Mobility,Digital Health,Healthtech","Series A,Series B",1-5M€,https://www.uniqaventures.com,Cachet,"B2B,B2C"
Pitchdrive,"Antwerp,Belgium",Europe,"Fintech,SaaS,AI,Mobility,Health,Marketplace,Enabled Hardware","Pre-Seed,Seed",150-600k€,https://www.pitchdrive.com/,"Picky, Otiv, Fixform, Brauzz, Openface",B2B
Nina Capital,Barcelona,Europe,"Health,Healthtech","Pre-Seed,Seed,Series A",200k-1.5M€,https://www.nina.capital,TBD,"B2B,B2C"
365.fintech,Bratislava,Europe,"Fintech,Insurtech,Big Data",Seed,100k-800k€,https://www.365fintech.sk,"Montonio, Startup Wise Guys",B2B
500 Emerging Europe,Istanbul,"Baltics,CEE,Turkey",Agnostic,Seed,500k-2M€,https://ee.500.co,TBD,"B2B,B2C"
ScaleX Ventures,Istanbul,"Europe,US","Agnostic,SaaS,Deeptech","Seed,Series A",200k-2M€,https://www.scalexventures.com/,"Locomation, Upstash, Code2",B2B
StartersHub,Istanbul,"Turkey,MENA,CEE",Agnostic,Seed,n/a,https://startershub.com/,"Zeplin, Meditopia, Segmentify, Delivers.ai, Thread in Motion, Lumnion",B2B
Forward Venture Capital,"The Hague,the Netherlands","Baltics,Nordics,DACH","Agnostic,SaaS,Data,Fintech","Pre-Seed,Seed",50k-500k€ ,https://www.forwardvc.com,FoodDocs,B2B
Black Pearls VC,Gdansk,"Northern & Central Europe,US,Baltics","Agnostic,Digital Health,Software,Fintech,Deeptech","Pre-Seed,Seed,Series A",100k-1M€ ,https://blackpearls.vc/,"Insly, eAgronom, Teamscope, Nordigen, heavyFinance",B2B
Venista Ventures,Cologne,"Western Europe,Nordics,Estonia","Agnostic,Tech",Pre-Seed,100k€,https://venista-ventures.com/,TBD,B2C
VentureFriends,Athens,"Europe,LatAm","Agnostic,Fintech,SaaS,Marketplace","Seed,Series A,Series B",>500k€,https://venturefriends.vc/,TBD,B2B
DEPO ventures,Prague,"CEE,Baltics","Fintech,Deeptech,Marketplace,Agnostic","Pre-Seed,Seed",50k-250k€+,https://depoventures.com/,"Bolt, ParcelSea","B2B,B2C"
Presto Ventures,Prague,CEE,"SaaS,Fintech,Deeptech,Proptech,Enterprise Software,Crypto,Logistics,Blockchain,Gaming,Cyber","Pre-Seed,Seed",300k-2M€,https://prestoventures.com/,"Dillali, Wolf3D, GoRamp, Okredo",B2B
Zaka VC,Prague,"Europe,US","Agnostic,SaaS,Developer tools,AI,Biotech,Fintech,Deeptech,Marketplace","Pre-Seed,Seed",200k-400k€,https://zaka.vc," Miros.ai, Supliful, Rendin, Salu",B2B
SupportersFund,Toronto,Global,"Fintech,CPG,Deeptech,Healthtech","Pre-Seed,Seed,Series A",100k-400k CDN,https://supportersfund.com/,TBD,B2B
European Circular Bioeconomy Fund (ECBF),Germany,Europe,"Biotech,Climate,Environment,Deeptech,Industry,Packaging,Construction,Chemicals,Materials,Blue Economy,AgTech,FoodTech,Biomass,Biorefinery","Series A,Series B,Series C,Growth",3-12M€,https://www.ecbf.vc/,TBD,"B2B,R&D"
Swiss Post Ventures,Bern,Europe,Agnostic,"Seed,Series A,Series B",500k-1.5M€,https://venture.post.ch/en#venture-capital,"Starship, Jobbatical, Bring!, Evercam",B2B
Deutsche Telekom Capital Partners,"Hamburg,London,Luxembourg",Global,"Cloud,Enterprise Software",Growth,15-50M€,https://www.dtcp.capital,Pipedrive,B2B
Roosh Ventures,Kyiv,"US,Europe,CEE","Agnostic,AI,ML,Gaming,Fintech,Web3","Seed,Series A,Series B",$25k - $5M,https://roosh.vc/,TBD,"B2B,B2C"
Day One Capital,Budapest,CEE,Software,"Seed,Series A",300k-2M€,https://www.dayonecapital.com/,"Miros, AImotive, Commsignia, Colossyan",B2B
KPN Ventures,Rotterdam,"Europe,Global","Tech,TelCo","Series A,Series B,Series C",1M-5M€,https://www.kpnventures.com/,RangeForce,B2B
 CommerzVentures,Frankfurt,"Europe,US,Israel,Africa","Fintech,Climate,Crypto,Insurtech","Series A,Series B",3M-20M€,https://commerzventures.com/,Tuum,"B2B,B2C"