Person,Location,LinkedIn,Company,Job Title
George Burke,"San Francisco, California, United States",https://www.linkedin.com/in/georgeburke/,,
Sandeep Nailwal,"Mumbai, Maharashtra, India",https://www.linkedin.com/in/sandeep-nailwal-60709a33/,Polygon Technology,Co-Founder
David J. Namdar,"San Juan, NA - Puerto Rico, Puerto Rico",http://www.linkedin.com/in/namdar,Coral DeFi,GP
Kain Warwick,"Sydney, New South Wales, Australia",https://www.linkedin.com/in/kainwarwick,Synthetix,Founder
Vinny Lingham,"San Francisco Bay Area, California, United States",http://www.linkedin.com/in/vinnylingham,Civic,Co-founder & Chief Executive Officer
Mark Gillespie,"Los Angeles, California, United States",https://www.linkedin.com/in/mark--gillespie,Three Six Zero,CEO
Andreas Schwartz,"Varna, Varna, Bulgaria",https://de.linkedin.com/in/andreas-schwartz-a87182149,,
David J. La Placa,"San Francisco, California, United States",https://www.linkedin.com/in/david-j-la-placa-4ab26,"Intellectus Partners, LLC",Chief Executive Officer & Founder
Karnika Yashwant,"Mumbai, Maharashtra, India",https://www.linkedin.com/in/mrkey,KEY Difference Media,Founder and CEO
Alexis Berthoud,"Paris, Ile-de-France, France",https://www.linkedin.com/in/alexis-b-/,Joinsteer,Founder
Charlie Lee,"San Francisco, California, United States",http://www.linkedin.com/in/chocobo,Litecoin Foundation,Founder and Managing Director
Do Kwon,"South Korea, Asia",https://www.linkedin.com/in/do-kwon/,,
Richard Ma,"San Francisco, California, United States",https://www.linkedin.com/in/rtmtd/,Quantstamp,CEO
Julian Sarokin,"Los Angeles, California, United States",http://linkedin.com/in/JulianSarokin,,
Alex Dahan,"Los Angeles, California, United States",https://www.linkedin.com/in/alex-dahan-01a13a6b,Open Influence,Founder
Fernando Martinelli,"Portugal, Europe",https://www.linkedin.com/in/fernandomartinelli,Balancer Labs,Co-Founder and CEO
Arthur Iinuma,"Los Angeles, California, United States",https://www.linkedin.com/in/arthur-iinuma-4115ba17,ISBX,President and Co-Founder
Thomas Larthe,"Dubai, Dubai, United Arab Emirates",https://fr.linkedin.com/in/thomas-larthe-1a7093b0,,
Jordan Momtazi,"Sydney, New South Wales, Australia",https://www.linkedin.com/in/jordanmomtazi,Block Earner,Co-Founder
Paul Ark,"Bangkok, Krung Thep, Thailand",https://www.linkedin.com/in/paulark/,,
Tarun Chitra,,https://www.linkedin.com/in/tarunchitra/,Gauntlet,CEO and Co-Founder
Buddy Shakhashir,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/in/buddyshakhashir,Platform Ventures,Managing Partner
Anthony Di Iorio,"Toronto, Ontario, Canada",http://www.linkedin.com/in/anthonydiiorio1,Decentral,CEO & Founder
Kyle Wang,,https://www.linkedin.com/in/kyletwang/,,
Jed McCaleb,"San Francisco, California, United States",https://www.linkedin.com/in/jed-mccaleb-4052a4,Stellar Development Foundation,Co-Founder
Kenneth Bok,"Singapore, Asia",https://www.linkedin.com/in/kenbok/,,
Ran Neuner,"Johannesburg, NA - South Africa, South Africa",https://www.linkedin.com/in/ran-neu-ner-8826a756/,Onchain Capital (Pty) Ltd,CEO and Founder
Adam Back,"Malta, Malta, Europe",http://www.linkedin.com/pub/adam-back/0/342/43,Blockstream,CEO
Mona El Isa,"Zug, Zug, Switzerland",https://www.linkedin.com/in/mona-el-isa-3a653526/,Avantgarde Finance,CEO & founder
Jonathan Chu,"Los Angeles, California, United States",https://www.linkedin.com/in/jonathanwchu,,
Owen Simonin,"Metz, Lorraine, France",https://www.linkedin.com/in/owensimonin/,,
Daniel Oon,"Singapore, Asia",https://www.linkedin.com/in/danieloon/,,
Craig Bloem,,https://www.linkedin.com/in/craigbloem,,
Mojtaba Akbari,"Ireland, Europe",https://ie.linkedin.com/in/mojtabaakbari,,
Max Keiser,"London, England, United Kingdom",https://www.linkedin.com/in/maxkeiser,StartCOIN Holdings,Founder
Jun Hasegawa,"Singapore, Central Region, Singapore",http://www.linkedin.com/pub/jun-hasegawa/14/34/138,Omise,GROUP CEO and Founder
Jon Carr-Harris,"San Francisco, California, United States",https://www.linkedin.com/in/jcarrharris,CRED Investments,CEO
Norbert Bodziony,,https://www.linkedin.com/in/norbertbodziony/,,
Michael Schelper,"Dubai, Dubai, United Arab Emirates",https://www.linkedin.com/in/michaelschelper/,,
Apoorv Gupta,"New Delhi, Delhi, India",https://www.linkedin.com/in/iamapoorvgupta/,,
Yuki Uchiyama,"Tokyo, Tokyo, Japan",https://jp.linkedin.com/in/kokiuchiyama,Hottolink,Chairman and CEO
Felix Hartmann,"Boca Raton, Florida, United States",https://www.linkedin.com/in/felixohartmann/,Hartmann Capital,Managing Partner
Djamel Agaoua,"San Francisco, California, United States",https://www.linkedin.com/in/djamelagaoua,Viber,CEO
Robbie Ferguson,"Sydney, New South Wales, Australia",https://www.linkedin.com/in/robbieferguson/,,
David Waslen,"Singapore, Asia",https://www.linkedin.com/in/davewaslen,Wilder World,Co-founder & Chief Executive Officer
Ramani Ramachandran,"Singapore, Asia",https://www.linkedin.com/in/ramaniram/,,
Dean Patrick,"New York, New York, United States",https://www.linkedin.com/in/deanpatrickprofessional/,,
Christian de Faria,"Johannesburg, NA - South Africa, South Africa",https://www.linkedin.com/in/christian-de-faria-9586b1/,,
David LEE Kuo Chuen,"Singapore, Central Region, Singapore",https://www.linkedin.com/in/david-lee-kuo-chuen-%E6%9D%8E%E5%9B%BD%E6%9D%83-07750baa/,Singapore University of Social Sciences,Professor
Anna Rose,"Berlin, Berlin, Germany",https://de.linkedin.com/pub/anna-rose/84/944/55b,zkValidator,Co-Founder
Shreyansh Singh,"Noida, Uttar Pradesh, India",https://www.linkedin.com/in/shreyansh-singh-69b289aa/,,
Kevin Walsh,,https://www.linkedin.com/in/kevin-p-walsh-a9699748/,,
Sung Hong,,https://www.linkedin.com/in/sung-joo-hong-575a69158/,,
Richy Qiao,"San Francisco, California, United States",https://www.linkedin.com/in/richy-qiao/,,
Pisit Poosanakhom,"Bangkok, Krung Thep, Thailand",https://www.linkedin.com/in/pisit-poosanakhom-3a085841/,,
Peng Zhong,"Toronto, Ontario, Canada",https://www.linkedin.com/in/nylira/,,
Randall Kaplan,,https://www.linkedin.com/in/randall-kaplan-05858340/,,